Species,Common name,Scientific name,Price,date
Lizards,Baby Frilled Dragon,Chlamydosaurus kingii,$149.99,09. Nov 19 
Turtles,Pinkbelly Snapping Turtle,Elseya novaeguinea,$149.99,09. Nov 19 
Snakes,Baby Axanthic Western Hognose Snake,null,$199.99,09. Nov 19 
Inverts,Blue Foot Baboon Tarantula,Idiothele mira,$49.99,09. Nov 19 
Snakes,Scarlet Snake,Cemophora coccinea,$39.99,09. Nov 19 
Lizards,Baby Blue Spotted Timor Monitor,Varanus timorensis,$149.99,09. Nov 19 
Turtles,Baby Painted Terrapin Turtle,Batagur borneoensis,$199.99,09. Nov 19 
Lizards,Baby Witblits Bearded Dragons,Pogona vitticeps,$399.99,09. Nov 19 
Tortoises,Baby Burmese Brown Mountain Tortoise,Manouria emys,$249.99,09. Nov 19 
Snakes,Baby Axanthic Carpet Python,null,$349.99,09. Nov 19 
Tegus,Albino Snowmaker Tegu #3,Tupinambis Merianae X Tupinambis rufescens,"$2,499.99",09. Nov 19 
Snakes,Baby Striped Black Ratsnake,null,$29.99,09. Nov 19 
Snakes,Grey Ratsnake,null,$59.99,09. Nov 19 
Tortoises,Baby Yellowfoot Tortoise,Geochelone denticulata,$149.99,09. Nov 19 
Amphibians,Lemon Albino Pacman Frog,Ceratophrys cranwelli,$24.99,09. Nov 19 
Turtles,Baby Pearl River Map Turtle,Graptemys pearlensis,$149.99,09. Nov 19 
Snakes,Baby Pastel HRA Ball Python,null,$109.99,09. Nov 19 
Lizards,Abronia Graminea,Abronia graminea,$124.99,09. Nov 19 
Snakes,Machete Snake,Chironius carinatus,$124.99,08. Nov 19 
Lizards,Baby Leopard Lizard,null,$19.99,08. Nov 19 
Snakes,Baby T Negative Matrix Blood Python,Python brongersMay,$399.99,08. Nov 19 
Lizards,Helmeted Iguana,Corytophanes hernandesii,$299.99,08. Nov 19 
Lizards,6-8 Inch Red Bearded Dragon,Pogona vitticeps,$49.99,07. Nov 19 
