Species,Common name,Scientific name,Price,months
Lizards,Baby Frilled Dragon,Chlamydosaurus kingii,$149.99,10
Turtles,Pinkbelly Snapping Turtle,Elseya novaeguinea,$149.99,10
Snakes,Baby Axanthic Western Hognose Snake,,$199.99,10
Inverts,Blue Foot Baboon Tarantula,Idiothele mira,$49.99,10
Snakes,Scarlet Snake,Cemophora coccinea,$39.99,10
Lizards,Baby Blue Spotted Timor Monitor,Varanus timorensis,$149.99,10
Turtles,Baby Painted Terrapin Turtle,Batagur borneoensis,$199.99,10
Lizards,Baby Witblits Bearded Dragons,Pogona vitticeps,$399.99,10
Tortoises,Baby Burmese Brown Mountain Tortoise,Manouria emys,$249.99,10
Snakes,Baby Axanthic Carpet Python,,$349.99,10
Tegus,Albino Snowmaker Tegu #3,Tupinambis Merianae X Tupinambis rufescens,"$2,499.99",10
Snakes,Baby Striped Black Ratsnake,,$29.99,10
Snakes,Grey Ratsnake,,$59.99,10
Tortoises,Baby Yellowfoot Tortoise,Geochelone denticulata,$149.99,10
Amphibians,Lemon Albino Pacman Frog,Ceratophrys cranwelli,$24.99,10
Turtles,Baby Pearl River Map Turtle,Graptemys pearlensis,$149.99,10
Snakes,Baby Pastel HRA Ball Python,,$109.99,10
Lizards,Abronia Graminea,Abronia graminea,$124.99,10
Snakes,Machete Snake,Chironius carinatus,$124.99,10
Lizards,Baby Leopard Lizard,,$19.99,10
Snakes,Baby T Negative Matrix Blood Python,Python brongersMay,$399.99,10
Lizards,Helmeted Iguana,Corytophanes hernandesii,$299.99,10
Lizards,6-8 Inch Red Bearded Dragon,Pogona vitticeps,$49.99,10
Snakes,Dekay Snake,,$6.99,10
Amphibians,Medium Green Pacman Frog,,$39.99,10
Snakes,Arizona Mountain Kingsnake,Lampropeltis pyromelana,$199.99,10
Geckos,Baby Mack Snow Leopard Gecko,Eublepharis macularius,$24.99,10
Inverts,Amazon Ribbed Tree Spider,Iridopelma hirsutum,$49.99,10
Isopods,Porcellio Laevis “Grey” Isopods,Porcellio Laevis,$9.99,10
Inverts,Bumblebee Millipede,Anadenobolus monilicornis,$3.99,10
Turtles,Baby Krefft’s Sideneck Turtle,Chelymys krefftii,$59.99,10
Tortoises,Baby Hermann’s Tortoise,Testudo hermanii boettgeri,$149.99,10
Lizards,Whitethroat Monitor,Varanus albigularis,$299.99,10
Geckos,Baby Dalmation Peach Pinstripe Crested Gecko,Correlophus ciliatus,$174.99,10
Snakes,Egyptian Cat Eye Snake,,$149.99,10
Inverts,Arizona Blonde Tarantula,,$34.99,10
Venomous,West African Rhino Viper,Bitis nasicornis,$349.99,10
Turtles,Baby Mississippi Map Turtle,Graptemys pseudogeographica kohni,$14.99,10
Lizards,Baby Green Tree Monitor,Varanus prasinus,$999.99,10
Inverts,Zimbabwe Grey Baboon Tarantula,Ceratogyrus meridionalis,$34.99,10
Lizards,Black Tree Monitor,,"$1,399.99",10
Venomous,Baby West African Rhino Viper,Bitis nasicornis,$749.99,10
Inverts,Peruvian Yellow Leg Centipede,Scolopendra robusta,$399.99,10
Tegus,Sub-Adult Chacoan Whitehead Tegu,,$249.99,10
Snakes,Baby Sunset Redtail Boa,Boa constrictor x imperator,$299.99,10
Inverts,Yellow Banded Pinktoe Tarantula,Avicularia juruensis,$69.99,10
Lizards,Western Fence Lizard,Sceloporus occidentalis,$19.99,10
Amphibians,Anthony’s Dart Frog,Epipedobates anthonyi,$34.99,10
Turtles,New Guinea Stream Turtle,,$59.99,10
Snakes,Baby Albino Super Anaconda Hognose Snake,,$349.99,10
Inverts,Chilean Dwarf Scorpion,Bothreas Gervaisii,$34.99,10
Inverts,Mexican Pink Tarantula,Brachypelma klaasi,$99.99,10
Geckos,Mack Snow Raptor Leopard Gecko,Eublepharis macularius,$64.99,10
Snakes,Baby Zebra Jaguar Carpet Python,Morelia spilota cheynei,$599.99,10
Amphibians,Two Line Salamander,Eurycea bislineata,$9.99,10
Turtles,Baby Geographic Map Turtle,Graptemys geographica,$39.99,10
Snakes,Baby Ultramel Anery Cornsnake,Pantherophis guttatus,$74.99,10
Amphibians,Grey Chubby Frog,Kaloula sp.,$9.99,10
Turtles,Baby Lime Green Albino Red Ear Slider Turtle,Trachemys scripta elegans,$299.99,10
Turtles,Baby Chinese Box Turtle,Cuora flavomarginata,$179.99,10
Amphibians,Green Fantasy Pacman Frog,C. cornuta X C. cranwelli,$34.99,10
Turtles,Mata Mata Turtle,Chelus fimbriata,$224.99,10
Inverts,Borneo Black Tarantula,Lampropelma sp.,$34.99,10
Snakes,Scarlet Kingsnake,Lampropeltis triangulum elapsoides,$124.99,10
Inverts,Guatemalan Tiger Rump Tarantula,Davus pentalore,$99.99,9
Snakes,Yellow Bellied Puffing Snake,,$499.99,9
Geckos,Bibron’s Gecko,,$14.99,9
Snakes,Madagascar Cat Eye Snake,Madagascarophis colubrinus,$174.99,9
Lizards,Puerto Rican Crested Anole,Anolis cristatellus cristatellus,$6.99,9
Lizards,Black Eye Abronia Graminea,,$349.99,9
Snakes,Baby Banana Albino California Kingsnake,Lampropeltis getula californiae,$149.99,9
